date,value,unit,stat_name,item_name
201001,2,연%,1.3.1. 한국은행 기준금리 및 여수신금리,한국은행 기준금리
201002,2,연%,1.3.1. 한국은행 기준금리 및 여수신금리,한국은행 기준금리
201003,2,연%,1.3.1. 한국은행 기준금리 및 여수신금리,한국은행 기준금리
201004,2,연%,1.3.1. 한국은행 기준금리 및 여수신금리,한국은행 기준금리
201005,2,연%,1.3.1. 한국은행 기준금리 및 여수신금리,한국은행 기준금리
201006,2,연%,1.3.1. 한국은행 기준금리 및 여수신금리,한국은행 기준금리
201007,2.25,연%,1.3.1. 한국은행 기준금리 및 여수신금리,한국은행 기준금리
201008,2.25,연%,1.3.1. 한국은행 기준금리 및 여수신금리,한국은행 기준금리
201009,2.25,연%,1.3.1. 한국은행 기준금리 및 여수신금리,한국은행 기준금리
201010,2.25,연%,1.3.1. 한국은행 기준금리 및 여수신금리,한국은행 기준금리
201011,2.5,연%,1.3.1. 한국은행 기준금리 및 여수신금리,한국은행 기준금리
201012,2.5,연%,1.3.1. 한국은행 기준금리 및 여수신금리,한국은행 기준금리
201101,2.75,연%,1.3.1. 한국은행 기준금리 및 여수신금리,한국은행 기준금리
201102,2.75,연%,1.3.1. 한국은행 기준금리 및 여수신금리,한국은행 기준금리
201103,3,연%,1.3.1. 한국은행 기준금리 및 여수신금리,한국은행 기준금리
201104,3,연%,1.3.1. 한국은행 기준금리 및 여수신금리,한국은행 기준금리
201105,3,연%,1.3.1. 한국은행 기준금리 및 여수신금리,한국은행 기준금리
201106,3.25,연%,1.3.1. 한국은행 기준금리 및 여수신금리,한국은행 기준금리
201107,3.25,연%,1.3.1. 한국은행 기준금리 및 여수신금리,한국은행 기준금리
201108,3.25,연%,1.3.1. 한국은행 기준금리 및 여수신금리,한국은행 기준금리
201109,3.25,연%,1.3.1. 한국은행 기준금리 및 여수신금리,한국은행 기준금리
201110,3.25,연%,1.3.1. 한국은행 기준금리 및 여수신금리,한국은행 기준금리
201111,3.25,연%,1.3.1. 한국은행 기준금리 및 여수신금리,한국은행 기준금리
201112,3.25,연%,1.3.1. 한국은행 기준금리 및 여수신금리,한국은행 기준금리
