date,value,unit,stat_name,item_name
201001,94,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201002,94,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201003,94,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201004,94,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201005,93,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201006,95,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201007,94,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201008,95,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201009,91,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201010,92,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201011,94,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201012,93,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201101,92,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201102,92,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201103,84,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201104,86,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201105,88,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201106,87,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201107,86,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201108,85,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201109,83,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201110,85,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201111,88,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201112,85,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201201,83,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201202,87,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201203,87,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201204,88,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201205,90,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201206,88,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201207,86,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201208,88,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201209,86,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201210,87,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201211,87,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201212,85,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201301,88,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201302,89,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201303,90,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201304,90,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201305,91,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201306,91,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201307,93,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201308,91,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201309,89,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201310,91,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201311,92,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201312,92,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201401,93,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201402,93,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201403,91,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201404,93,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201405,91,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201406,92,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201407,91,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201408,92,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201409,93,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201410,91,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201411,90,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201412,89,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201501,89,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201502,89,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201503,90,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201504,92,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201505,93,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201506,90,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201507,89,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201508,90,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201509,91,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201510,92,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201511,92,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201512,91,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201601,90,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201602,90,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201603,91,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201604,91,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201605,91,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201606,91,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201607,91,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201608,91,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201609,91,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201610,92,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201611,90,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201612,89,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201701,87,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201702,88,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201703,89,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201704,90,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201705,92,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201706,94,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201707,95,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201708,94,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201709,94,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201710,94,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201711,96,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201712,94,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201801,94,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201802,94,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201803,95,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201804,95,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201805,95,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201806,94,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201807,91,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201808,89,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201809,90,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201810,91,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201811,90,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201812,89,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201901,90,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201902,93,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201903,91,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201904,93,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201905,91,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201906,91,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201907,91,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201908,90,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201909,92,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201910,92,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201911,92,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
201912,92,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
