date,value,unit,stat_name,item_name
201001,85.351,2020=100,4.2.1. 소비자물가지수,총지수
201002,85.523,2020=100,4.2.1. 소비자물가지수,총지수
201003,85.696,2020=100,4.2.1. 소비자물가지수,총지수
201004,86.041,2020=100,4.2.1. 소비자물가지수,총지수
201005,86.128,2020=100,4.2.1. 소비자물가지수,총지수
201006,86.041,2020=100,4.2.1. 소비자물가지수,총지수
201007,86.214,2020=100,4.2.1. 소비자물가지수,총지수
201008,86.647,2020=100,4.2.1. 소비자물가지수,총지수
201009,87.337,2020=100,4.2.1. 소비자물가지수,총지수
201010,87.337,2020=100,4.2.1. 소비자물가지수,총지수
201011,86.906,2020=100,4.2.1. 소비자물가지수,총지수
201012,87.251,2020=100,4.2.1. 소비자물가지수,총지수
201101,88.288,2020=100,4.2.1. 소비자물가지수,총지수
201102,88.892,2020=100,4.2.1. 소비자물가지수,총지수
201103,89.238,2020=100,4.2.1. 소비자물가지수,총지수
201104,89.325,2020=100,4.2.1. 소비자물가지수,총지수
201105,89.497,2020=100,4.2.1. 소비자물가지수,총지수
201106,89.67,2020=100,4.2.1. 소비자물가지수,총지수
201107,90.102,2020=100,4.2.1. 소비자물가지수,총지수
201108,90.707,2020=100,4.2.1. 소비자물가지수,총지수
201109,90.62,2020=100,4.2.1. 소비자물가지수,총지수
201110,90.448,2020=100,4.2.1. 소비자물가지수,총지수
201111,90.534,2020=100,4.2.1. 소비자물가지수,총지수
201112,90.879,2020=100,4.2.1. 소비자물가지수,총지수
201201,91.242,2020=100,4.2.1. 소비자물가지수,총지수
201202,91.588,2020=100,4.2.1. 소비자물가지수,총지수
201203,91.614,2020=100,4.2.1. 소비자물가지수,총지수
201204,91.605,2020=100,4.2.1. 소비자물가지수,총지수
201205,91.769,2020=100,4.2.1. 소비자물가지수,총지수
201206,91.639,2020=100,4.2.1. 소비자물가지수,총지수
201207,91.432,2020=100,4.2.1. 소비자물가지수,총지수
201208,91.855,2020=100,4.2.1. 소비자물가지수,총지수
201209,92.512,2020=100,4.2.1. 소비자물가지수,총지수
201210,92.339,2020=100,4.2.1. 소비자물가지수,총지수
201211,92.011,2020=100,4.2.1. 소비자물가지수,총지수
201212,92.175,2020=100,4.2.1. 소비자물가지수,총지수
201301,92.728,2020=100,4.2.1. 소비자물가지수,총지수
201302,93.038,2020=100,4.2.1. 소비자물가지수,총지수
201303,92.952,2020=100,4.2.1. 소비자물가지수,총지수
201304,92.823,2020=100,4.2.1. 소비자물가지수,총지수
201305,92.823,2020=100,4.2.1. 소비자물가지수,총지수
201306,92.71,2020=100,4.2.1. 소비자물가지수,총지수
201307,92.909,2020=100,4.2.1. 소비자물가지수,총지수
201308,93.238,2020=100,4.2.1. 소비자물가지수,총지수
201309,93.419,2020=100,4.2.1. 소비자물가지수,총지수
201310,93.134,2020=100,4.2.1. 소비자물가지수,총지수
201311,93.116,2020=100,4.2.1. 소비자물가지수,총지수
201312,93.229,2020=100,4.2.1. 소비자물가지수,총지수
201401,93.73,2020=100,4.2.1. 소비자물가지수,총지수
201402,93.98,2020=100,4.2.1. 소비자물가지수,총지수
201403,94.153,2020=100,4.2.1. 소비자물가지수,총지수
201404,94.214,2020=100,4.2.1. 소비자물가지수,총지수
201405,94.369,2020=100,4.2.1. 소비자물가지수,총지수
201406,94.248,2020=100,4.2.1. 소비자물가지수,총지수
201407,94.386,2020=100,4.2.1. 소비자물가지수,총지수
201408,94.551,2020=100,4.2.1. 소비자물가지수,총지수
201409,94.49,2020=100,4.2.1. 소비자물가지수,총지수
201410,94.205,2020=100,4.2.1. 소비자물가지수,총지수
201411,94.015,2020=100,4.2.1. 소비자물가지수,총지수
201412,94.006,2020=100,4.2.1. 소비자물가지수,총지수
201501,94.643,2020=100,4.2.1. 소비자물가지수,총지수
201502,94.587,2020=100,4.2.1. 소비자물가지수,총지수
201503,94.596,2020=100,4.2.1. 소비자물가지수,총지수
201504,94.625,2020=100,4.2.1. 소비자물가지수,총지수
201505,94.89,2020=100,4.2.1. 소비자물가지수,총지수
201506,94.909,2020=100,4.2.1. 소비자물가지수,총지수
201507,95.08,2020=100,4.2.1. 소비자물가지수,총지수
