date,value,unit,stat_name,item_name
201001,1138.77,원,"3.1.2.3. 원화의 대미달러, 원화의 대위안/대엔 환율",원/달러(종가 15:30)
201002,1156.83,원,"3.1.2.3. 원화의 대미달러, 원화의 대위안/대엔 환율",원/달러(종가 15:30)
201003,1136.11,원,"3.1.2.3. 원화의 대미달러, 원화의 대위안/대엔 환율",원/달러(종가 15:30)
201004,1115.71,원,"3.1.2.3. 원화의 대미달러, 원화의 대위안/대엔 환율",원/달러(종가 15:30)
201005,1168.41,원,"3.1.2.3. 원화의 대미달러, 원화의 대위안/대엔 환율",원/달러(종가 15:30)
201006,1214.02,원,"3.1.2.3. 원화의 대미달러, 원화의 대위안/대엔 환율",원/달러(종가 15:30)
201007,1204.94,원,"3.1.2.3. 원화의 대미달러, 원화의 대위안/대엔 환율",원/달러(종가 15:30)
201008,1180.05,원,"3.1.2.3. 원화의 대미달러, 원화의 대위안/대엔 환율",원/달러(종가 15:30)
201009,1162.94,원,"3.1.2.3. 원화의 대미달러, 원화의 대위안/대엔 환율",원/달러(종가 15:30)
201010,1122.23,원,"3.1.2.3. 원화의 대미달러, 원화의 대위안/대엔 환율",원/달러(종가 15:30)
201011,1128.08,원,"3.1.2.3. 원화의 대미달러, 원화의 대위안/대엔 환율",원/달러(종가 15:30)
201012,1146.23,원,"3.1.2.3. 원화의 대미달러, 원화의 대위안/대엔 환율",원/달러(종가 15:30)
201101,1119.43,원,"3.1.2.3. 원화의 대미달러, 원화의 대위안/대엔 환율",원/달러(종가 15:30)
201102,1119.51,원,"3.1.2.3. 원화의 대미달러, 원화의 대위안/대엔 환율",원/달러(종가 15:30)
201103,1120.45,원,"3.1.2.3. 원화의 대미달러, 원화의 대위안/대엔 환율",원/달러(종가 15:30)
201104,1084.83,원,"3.1.2.3. 원화의 대미달러, 원화의 대위안/대엔 환율",원/달러(종가 15:30)
201105,1084.05,원,"3.1.2.3. 원화의 대미달러, 원화의 대위안/대엔 환율",원/달러(종가 15:30)
201106,1080.87,원,"3.1.2.3. 원화의 대미달러, 원화의 대위안/대엔 환율",원/달러(종가 15:30)
201107,1058.49,원,"3.1.2.3. 원화의 대미달러, 원화의 대위안/대엔 환율",원/달러(종가 15:30)
201108,1074.05,원,"3.1.2.3. 원화의 대미달러, 원화의 대위안/대엔 환율",원/달러(종가 15:30)
201109,1125.09,원,"3.1.2.3. 원화의 대미달러, 원화의 대위안/대엔 환율",원/달러(종가 15:30)
201110,1150.25,원,"3.1.2.3. 원화의 대미달러, 원화의 대위안/대엔 환율",원/달러(종가 15:30)
201111,1134.19,원,"3.1.2.3. 원화의 대미달러, 원화의 대위안/대엔 환율",원/달러(종가 15:30)
