date,value,unit,stat_name,item_name
201001,58.508,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201002,58.872,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201003,59.271,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201004,59.643,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201005,59.886,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201006,60.123,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201007,60.282,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201008,60.499,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201009,60.887,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201010,61.397,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201011,62.036,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201012,62.492,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201101,63.026,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201102,64.046,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201103,65.164,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201104,65.947,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201105,66.492,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201106,66.926,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201107,67.457,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201108,68.189,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201109,69.135,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201110,69.758,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201111,70.12,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201112,70.181,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201201,70.355,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201202,70.619,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201203,70.951,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201204,71.247,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201205,71.376,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201206,71.462,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201207,71.557,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201208,71.63,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201209,71.868,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201210,72.228,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201211,72.505,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201212,72.654,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201301,72.82,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201302,73.017,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201303,73.337,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201304,73.603,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201305,73.741,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201306,73.907,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201307,74.179,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201308,74.598,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201309,75.2,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201310,75.872,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201311,76.363,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201312,76.805,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201401,77.123,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201402,77.492,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201403,77.901,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201404,78.175,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201405,78.287,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201406,78.424,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201407,78.564,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201408,78.74,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201409,79.01,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201410,79.269,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201411,79.488,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201412,79.744,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
201501,79.955,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
