date,value,unit,stat_name,item_name
201001,73.47,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201002,73.47,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201003,73.47,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201004,73.47,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201005,78.92,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201006,74.12,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201007,74.12,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201008,77.73,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201009,77.73,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201010,80.29,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201011,80.29,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201012,80.29,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201101,83.86,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201102,83.86,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201103,83.86,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201104,96.34,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201105,96.34,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201106,96.34,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201107,96.34,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201108,103.33,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201109,111.16,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201110,111.16,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201111,113.57,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201112,113.57,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201201,113.57,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201202,113.57,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201203,113.57,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201204,111.17,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201205,111.17,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201206,111.17,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201207,111.17,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201208,108.73,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201209,108.73,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201210,108.73,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201211,108.73,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201212,108.73,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201301,106.23,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201302,106.23,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201303,101.17,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201304,101.17,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201305,101.17,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201306,101.17,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201307,96.12,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201308,96.12,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201309,96.12,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201310,86,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201311,86,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201312,86,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201401,86,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201402,85.66,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201403,85.66,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201404,85.66,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201405,87.51,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201406,85.73,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201407,85.73,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201408,86.65,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201409,89,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201410,91.09,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201411,91.09,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201412,91.09,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201501,94.46,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201502,94.46,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201503,94.46,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201504,94.46,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201505,94.46,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201506,94.46,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201507,94.46,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201508,94.46,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201509,94.46,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201510,94.46,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201511,94.46,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201512,94.46,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201601,92.95,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201602,92.95,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201603,89.29,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201604,85.62,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201605,83.28,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201606,83.28,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201607,83.33,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201608,83.33,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201609,81.87,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201610,81.87,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201611,81.88,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201612,74.31,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201701,74.31,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201702,74.31,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201703,74.31,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201704,74.31,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201705,74.42,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201706,74.42,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201707,71.51,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201708,69.74,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201709,69.81,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201710,69.89,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201711,70.04,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201712,70.2,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201801,70.25,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201802,70.21,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201803,70.12,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201804,71.54,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201805,71.68,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201806,71.93,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201807,71.92,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201808,72.24,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201809,72.24,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
201810,72.38,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
