date,value,unit,stat_name,item_name
201001,102.54,2020=100,4.3.2.1. 수입물가지수(기본분류),철강1차제품
201002,104.28,2020=100,4.3.2.1. 수입물가지수(기본분류),철강1차제품
201003,108.21,2020=100,4.3.2.1. 수입물가지수(기본분류),철강1차제품
201004,116.42,2020=100,4.3.2.1. 수입물가지수(기본분류),철강1차제품
201005,116.76,2020=100,4.3.2.1. 수입물가지수(기본분류),철강1차제품
201006,114.22,2020=100,4.3.2.1. 수입물가지수(기본분류),철강1차제품
201007,115.99,2020=100,4.3.2.1. 수입물가지수(기본분류),철강1차제품
201008,117.21,2020=100,4.3.2.1. 수입물가지수(기본분류),철강1차제품
201009,117.86,2020=100,4.3.2.1. 수입물가지수(기본분류),철강1차제품
201010,118.96,2020=100,4.3.2.1. 수입물가지수(기본분류),철강1차제품
201011,119.59,2020=100,4.3.2.1. 수입물가지수(기본분류),철강1차제품
201012,122.42,2020=100,4.3.2.1. 수입물가지수(기본분류),철강1차제품
201101,124.93,2020=100,4.3.2.1. 수입물가지수(기본분류),철강1차제품
201102,127.14,2020=100,4.3.2.1. 수입물가지수(기본분류),철강1차제품
201103,126.45,2020=100,4.3.2.1. 수입물가지수(기본분류),철강1차제품
201104,128.86,2020=100,4.3.2.1. 수입물가지수(기본분류),철강1차제품
201105,130.11,2020=100,4.3.2.1. 수입물가지수(기본분류),철강1차제품
201106,130.7,2020=100,4.3.2.1. 수입물가지수(기본분류),철강1차제품
201107,131.72,2020=100,4.3.2.1. 수입물가지수(기본분류),철강1차제품
201108,131.42,2020=100,4.3.2.1. 수입물가지수(기본분류),철강1차제품
201109,129.62,2020=100,4.3.2.1. 수입물가지수(기본분류),철강1차제품
201110,125.68,2020=100,4.3.2.1. 수입물가지수(기본분류),철강1차제품
201111,125.74,2020=100,4.3.2.1. 수입물가지수(기본분류),철강1차제품
201112,125.34,2020=100,4.3.2.1. 수입물가지수(기본분류),철강1차제품
201201,125.13,2020=100,4.3.2.1. 수입물가지수(기본분류),철강1차제품
201202,125.17,2020=100,4.3.2.1. 수입물가지수(기본분류),철강1차제품
