date,value,unit,stat_name,item_name
201002,1.26,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
201003,0.93,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
201004,0.91,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
201005,0.39,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
201006,1.04,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
201007,0.10,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
201008,0.23,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
201009,0.29,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
201010,0.58,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
201011,0.40,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
201012,0.21,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
201101,-0.29,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
201102,0.05,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
201103,0.24,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
201104,0.42,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
201105,0.48,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
201106,0.20,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
201107,0.45,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
201108,0.83,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
201109,0.60,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
201110,0.68,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
201111,0.55,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
201112,0.13,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
201201,-0.05,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
201202,0.56,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
201203,0.75,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
201204,0.36,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
201205,0.38,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
201206,0.52,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
201207,0.51,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
201208,0.54,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
201209,-0.05,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
201210,0.36,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
201211,0.23,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
