date,value,unit,stat_name,item_name
201001,4.29,연%,"1.3.2.2. 시장금리(월,분기,년)",국고채(3년)
201002,4.19,연%,"1.3.2.2. 시장금리(월,분기,년)",국고채(3년)
201003,3.94,연%,"1.3.2.2. 시장금리(월,분기,년)",국고채(3년)
201004,3.77,연%,"1.3.2.2. 시장금리(월,분기,년)",국고채(3년)
201005,3.7,연%,"1.3.2.2. 시장금리(월,분기,년)",국고채(3년)
201006,3.75,연%,"1.3.2.2. 시장금리(월,분기,년)",국고채(3년)
201007,3.88,연%,"1.3.2.2. 시장금리(월,분기,년)",국고채(3년)
201008,3.73,연%,"1.3.2.2. 시장금리(월,분기,년)",국고채(3년)
201009,3.48,연%,"1.3.2.2. 시장금리(월,분기,년)",국고채(3년)
201010,3.24,연%,"1.3.2.2. 시장금리(월,분기,년)",국고채(3년)
201011,3.4,연%,"1.3.2.2. 시장금리(월,분기,년)",국고채(3년)
201012,3.25,연%,"1.3.2.2. 시장금리(월,분기,년)",국고채(3년)
201101,3.71,연%,"1.3.2.2. 시장금리(월,분기,년)",국고채(3년)
201102,3.94,연%,"1.3.2.2. 시장금리(월,분기,년)",국고채(3년)
201103,3.74,연%,"1.3.2.2. 시장금리(월,분기,년)",국고채(3년)
201104,3.74,연%,"1.3.2.2. 시장금리(월,분기,년)",국고채(3년)
201105,3.66,연%,"1.3.2.2. 시장금리(월,분기,년)",국고채(3년)
201106,3.65,연%,"1.3.2.2. 시장금리(월,분기,년)",국고채(3년)
201107,3.77,연%,"1.3.2.2. 시장금리(월,분기,년)",국고채(3년)
201108,3.57,연%,"1.3.2.2. 시장금리(월,분기,년)",국고채(3년)
201109,3.45,연%,"1.3.2.2. 시장금리(월,분기,년)",국고채(3년)
201110,3.47,연%,"1.3.2.2. 시장금리(월,분기,년)",국고채(3년)
201111,3.39,연%,"1.3.2.2. 시장금리(월,분기,년)",국고채(3년)
201112,3.36,연%,"1.3.2.2. 시장금리(월,분기,년)",국고채(3년)
201201,3.37,연%,"1.3.2.2. 시장금리(월,분기,년)",국고채(3년)
201202,3.43,연%,"1.3.2.2. 시장금리(월,분기,년)",국고채(3년)
201203,3.55,연%,"1.3.2.2. 시장금리(월,분기,년)",국고채(3년)
201204,3.5,연%,"1.3.2.2. 시장금리(월,분기,년)",국고채(3년)
201205,3.38,연%,"1.3.2.2. 시장금리(월,분기,년)",국고채(3년)
201206,3.29,연%,"1.3.2.2. 시장금리(월,분기,년)",국고채(3년)
