date,value,unit,stat_name,item_name
201001,79.42,2020=100,4.1.1.1. 생산자물가지수(기본분류),비금속광물
201002,79.42,2020=100,4.1.1.1. 생산자물가지수(기본분류),비금속광물
201003,79.42,2020=100,4.1.1.1. 생산자물가지수(기본분류),비금속광물
201004,78.93,2020=100,4.1.1.1. 생산자물가지수(기본분류),비금속광물
201005,78.93,2020=100,4.1.1.1. 생산자물가지수(기본분류),비금속광물
201006,79.14,2020=100,4.1.1.1. 생산자물가지수(기본분류),비금속광물
201007,79.14,2020=100,4.1.1.1. 생산자물가지수(기본분류),비금속광물
201008,79.14,2020=100,4.1.1.1. 생산자물가지수(기본분류),비금속광물
201009,79.14,2020=100,4.1.1.1. 생산자물가지수(기본분류),비금속광물
201010,79.38,2020=100,4.1.1.1. 생산자물가지수(기본분류),비금속광물
201011,79.38,2020=100,4.1.1.1. 생산자물가지수(기본분류),비금속광물
201012,79.38,2020=100,4.1.1.1. 생산자물가지수(기본분류),비금속광물
201101,79.38,2020=100,4.1.1.1. 생산자물가지수(기본분류),비금속광물
201102,79.94,2020=100,4.1.1.1. 생산자물가지수(기본분류),비금속광물
201103,79.74,2020=100,4.1.1.1. 생산자물가지수(기본분류),비금속광물
201104,79.74,2020=100,4.1.1.1. 생산자물가지수(기본분류),비금속광물
201105,79.74,2020=100,4.1.1.1. 생산자물가지수(기본분류),비금속광물
201106,79.74,2020=100,4.1.1.1. 생산자물가지수(기본분류),비금속광물
201107,80.01,2020=100,4.1.1.1. 생산자물가지수(기본분류),비금속광물
201108,80.01,2020=100,4.1.1.1. 생산자물가지수(기본분류),비금속광물
201109,80.01,2020=100,4.1.1.1. 생산자물가지수(기본분류),비금속광물
201110,80.01,2020=100,4.1.1.1. 생산자물가지수(기본분류),비금속광물
201111,81.63,2020=100,4.1.1.1. 생산자물가지수(기본분류),비금속광물
201112,81.63,2020=100,4.1.1.1. 생산자물가지수(기본분류),비금속광물
201201,81.85,2020=100,4.1.1.1. 생산자물가지수(기본분류),비금속광물
201202,82.08,2020=100,4.1.1.1. 생산자물가지수(기본분류),비금속광물
201203,82.08,2020=100,4.1.1.1. 생산자물가지수(기본분류),비금속광물
